SMILES,AcidChloride,Alcohol,Aldehyde,Alkane,Alkene,Alkyne,Amide,Amidine,Amine,Aniline,Azide,Azo,Benzene,Benzodiazepine,Boronate,Carbamate,Carbodiimide,Carbonate,CarboxylicAcid,Cyano,Cyclopropane,Diazo,Diazonium,Disulfide,Enamine,Ester,Ether,Fluoro,Guanidine,Halo,Hydrazide,Hydrazine,Hydrazone,Hydroxamate,Imide,Imidazole,Imine,Isonitrile,Isocyanate,Isothiocyanate,Ketone,Lactam,Lactone,Methoxy,Nitrile,Nitro,Nitroso,Oxime,Phenol,Phosphate,Phosphine,Phosphodiester,Phosphonate,Propargyl,Pyridine,Quinoline,Semicarbazone,Sulfate,Sulfide,Sulfinamide,Sulfonamide,Sulfone,SulfonicAcid,SulfonylChloride,Sulfoxide,TerminalAlkyne,Tetrazole,Thial,Thioamide,Thiocarbamate,Thiocyanate,Thioester,Thioether,Thiol,Thione,Thiophene,Thiourea,Triazole,Urea,Vinyl,Xylyl,file_name
[H]c1sc(-c2nc3sc(C(=O)C([H])([H])[H])c(N([H])[H])c3c(C(F)(F)F)c2[H])c([H])c1[H],0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1798_actives_new.sdf
[H]c1nc([H])c(C(=O)/N=c2\c(C(=O)OC([H])([H])C([H])([H])[H])c([H])c3c(=O)n4c([H])c([H])c([H])c([H])c4nc3n2C([H])([H])c2oc([H])c([H])c2[H])c([H])c1[H],0,0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1c([H])c([H])c(-c2nc(SC([H])([H])c3nc(N([H])[H])nc(N([H])c4c([H])c([H])c([H])c([H])c4[H])n3)nn2[H])c([H])c1[H],0,0,0,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1798_actives_new.sdf
[H]OC(=O)[C@@]1([H])N(C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C(=O)C([H])([H])C1([H])[H],0,1,2,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1nc2c(S(=O)(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])c4c([H])c([H])c(OC([H])([H])[H])c([H])c4OC([H])([H])[H])C3([H])[H])c([H])c([H])c([H])c2c([H])c1[H],0,0,1,7,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]OC([H])([H])C([H])([H])C([H])([H])C1=NC2=NC(c3c([H])c([H])c([H])c([H])c3[H])=C([H])[C@]([H])(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])N2N1[H],0,1,0,5,1,0,0,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798_actives_new.sdf
[H]c1oc(C(=O)N([H])c2c([H])c(OC([H])([H])[H])c(N([H])C(=O)C([H])([H])Sc3nnc(-c4sc([H])c([H])c4[H])n3C([H])([H])[H])c([H])c2OC([H])([H])[H])c([H])c1[H],0,0,2,4,0,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1798_actives_new.sdf
[H]c1c2c(c([H])c3c1c([H])c(C([H])([H])N(C([H])([H])c1nnnn1C([H])([H])[C@]1([H])OC([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])c(=O)n3[H])OC([H])([H])O2,0,0,0,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1oc(-c2nc3c([H])c([H])c(N([H])C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c([H])c3nc2-c2oc([H])c([H])c2[H])c([H])c1[H],0,0,1,6,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1798_actives_new.sdf
[H]c1oc(-c2nc3c([H])c([H])c(N([H])C(=O)N4C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C4([H])[H])c([H])c3nc2-c2oc([H])c([H])c2[H])c([H])c1[H],0,0,2,7,0,0,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1798_actives_new.sdf
[H]c1c(C(=O)N([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c2c(c1[H])c(=O)n(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c(=O)n2[H],0,0,1,11,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1c([H])c(C(=O)N([H])C([H])([H])C([H])([H])N([H])C2([H])C([H])([H])C([H])([H])N(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c([H])c1Cl,0,0,2,9,0,0,2,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1c(N([H])C(=O)C([H])([H])Sc2c([H])n(C([H])([H])C([H])([H])N([H])C(=O)c3c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c3[H])c3c([H])c([H])c([H])c([H])c23)noc1C([H])([H])[H],0,0,2,6,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1c(C(=O)N2C([H])([H])C([H])([H])N(c3c([H])c([H])c([H])c(Cl)c3[H])C([H])([H])C2([H])[H])oc(C([H])([H])S(=O)(=O)c2c([H])c([H])c([H])c([H])c2OC([H])([H])[H])c1[H],0,0,1,6,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]O[C@]([H])(C([H])([H])Oc1c([H])c([H])c(OC([H])([H])[H])c([H])c1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)OC([H])([H])C([H])([H])[H])C1([H])[H],0,1,1,15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]/N=c1\c(C(=O)N([H])C([H])([H])c2oc([H])c([H])c2[H])c([H])c2c(=O)n3c([H])c([H])c([H])c(C([H])([H])[H])c3nc2n1C([H])([H])C([H])([H])OC([H])([H])C([H])([H])O[H],0,1,1,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1c(N([H])[H])c([H])c2oc(=O)c([H])c(C(F)(F)F)c2c1[H],0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]C1=NC2=NC(c3c([H])c([H])c([H])c([H])c3[H])=C([H])[C@]([H])(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])N2N1[H],0,0,0,2,1,0,0,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798_actives_new.sdf
[H]OC(=O)c1c([H])c([H])c([H])c([H])c1N([H])C([H])([H])N1C(=O)[C@]2([H])C([H])([H])C([H])=C(Cl)C([H])([H])[C@@]2([H])C1=O,0,1,3,5,1,0,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798_actives_new.sdf
[H]c1c([H])c(N2C(=O)C([H])([H])[C@]([H])(N3C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)OC([H])([H])C([H])([H])[H])C3([H])[H])C2=O)c([H])c(C(F)(F)F)c1[H],0,0,3,10,0,0,2,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]C1=NC2=NC(c3c([H])c([H])c(Cl)c([H])c3OC([H])(F)F)=C([H])[C@]([H])(c3c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])N2N1[H],0,0,0,4,1,0,0,3,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798_actives_new.sdf
[H]c1c(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c2nc(C([H])([H])[H])c(=O)oc2c1[H],0,0,0,5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]C1=C([H])[C@]2([H])C([H])([H])[C@@]1([H])C([H])([H])[C@@]2([H])C([H])([H])N1C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])[H])C([H])([H])C1([H])[H],0,0,0,11,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798_actives_new.sdf
[H]c1c([H])c([H])c2nc3c(nc2c1[H])c(C(=O)N([H])C([H])([H])[C@@]1([H])OC([H])([H])C([H])([H])C1([H])[H])c(N([H])[H])n3C([H])([H])C([H])([H])OC([H])([H])[H],0,0,1,8,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1c([H])c([H])c2c(c1[H])c1c(c([H])c(C(=O)N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])n1C([H])([H])[H])c(=O)n2C([H])([H])[H],0,0,1,7,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]C1=C2C(C#N)=C(N([H])[H])C(C#N)(C#N)[C@@]([H])(C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])[C@@]2([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C1([H])[H],0,0,0,9,2,0,0,0,5,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1798_actives_new.sdf
[H]c1c(C([H])([H])[H])c([H])c2nc(-n3nc(C([H])([H])[H])c([H])c3C([H])([H])[H])c(N([H])c3c([H])c([H])c4c(c3[H])n([H])c(=O)n4[H])nc2c1[H],0,0,0,3,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]Oc1c([H])c([H])c([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c1N([H])C(=O)c1nc([H])nn1[H],0,1,1,4,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1798_actives_new.sdf
[H]C1=C(c2c([H])c([H])c([H])c([H])c2[H])N=C2N=C(N([H])C(=O)C([H])([H])[H])N([H])N2[C@@]1([H])c1c([H])c([H])c([H])c([H])c1[H],0,0,1,2,1,0,1,4,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798_actives_new.sdf
[H]c1oc(C(=O)N([H])c2c([H])c([H])c([H])c(OC([H])([H])C(=O)c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])c2[H])c([H])c1[H],0,0,2,2,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]C1=C(C([H])([H])C([H])([H])N([H])C(=O)C2([H])C([H])([H])C([H])([H])N(C([H])([H])c3c([H])nn(-c4c([H])c([H])c([H])c([H])c4[H])c3-n3c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],0,0,1,12,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798_actives_new.sdf
[H]C1=NC2=NC(c3c([H])c([H])c([H])c(OC([H])([H])[H])c3[H])=C([H])[C@]([H])(c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])N2N1[H],0,0,0,3,1,0,0,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1798_actives_new.sdf
[H]c1oc(C(=O)N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])OC(=O)c3c([H])c(-c4c([H])c([H])c(F)c([H])c4[H])nc4c([H])c([H])c([H])c([H])c34)C([H])([H])C2([H])[H])c([H])c1[H],0,0,3,5,0,0,2,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1sc(-c2nc(C([H])([H])SC([H])([H])C(=O)N3C([H])([H])C([H])([H])N(c4c([H])c([H])c([H])c([H])c4[H])C([H])([H])C3([H])[H])c(C([H])([H])[H])o2)c(C([H])([H])[H])c1[H],0,0,1,8,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1798_actives_new.sdf
[H]c1c([H])c(C2=NC([H])([H])[C@@]([H])(C([H])([H])Sc3nc4c([H])c(S(=O)(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c([H])c4o3)S2)c([H])c([H])c1OC([H])([H])[H],0,0,0,8,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1c([H])c([H])c(N(C(=O)C([H])([H])Sc2nnc(C([H])([H])n3nnc4c([H])c([H])c([H])c([H])c43)o2)C([H])([H])c2c([H])c([H])c(F)c([H])c2[H])c([H])c1[H],0,0,1,3,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1c2c3c(c4oc(=O)c5c(c14)C([H])([H])C([H])([H])C5([H])[H])C([H])([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])O2,0,0,0,8,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1c([H])c([H])c2c(c1[H])SC1=C(C#N)[C@]([H])(c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])C(C#N)=C(N([H])[H])N12,0,0,0,2,2,0,0,0,4,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1798_actives_new.sdf
[H]c1c([H])c([H])c(C([H])([H])N(C(=O)C([H])([H])[H])c2nc([H])c3c(n2)c(=O)c(C#N)c2c([H])c([H])c([H])c([H])n23)c([H])c1[H],0,0,1,2,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1c([H])c([H])c(C(=O)N([H])c2c(C#N)c3nc4c([H])c([H])c([H])c([H])c4nc3n2C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c(Cl)c1[H],0,0,1,4,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1c([H])c([H])c2nc([C@]([H])(C#N)C(=O)N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c(N3C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C3([H])[H])nc2c1[H],0,0,1,13,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1nc(N2C([H])([H])C([H])([H])N(C(=O)C([H])([H])Sc3c([H])c(=O)n(C([H])([H])C([H])([H])[H])c4c([H])c([H])c([H])c([H])c34)C([H])([H])C2([H])[H])c([H])c([H])c1[H],0,0,1,7,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1c([H])c([H])c(N([H])C2=N[C@]([H])(c3c([H])c([H])c(Cl)c([H])c3[H])N=C(N([H])[H])N2[H])c(OC([H])([H])[H])c1[H],0,0,0,2,0,0,0,4,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
[H]c1c([H])c([H])c([C@@]2([H])N(S(=O)(=O)c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])C([H])([H])C([H])([H])N2S(=O)(=O)C([H])([H])[H])c([H])c1[H],0,0,0,5,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1798_actives_new.sdf
